goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2571423	       140.5 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2541808	       145.0 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2566128	       148.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2473531	       143.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2663053	       136.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2632102	       141.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2538142	       144.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2247776	       167.0 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1812507	       196.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1890944	       189.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1751398	       204.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1797625	       198.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1942856	       184.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1857354	       190.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1958535	       183.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1755910	       205.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1894104	       189.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1700108	       209.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1402263	       257.3 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1360142	       260.7 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1396755	       255.5 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1458040	       248.0 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1449350	       247.5 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1469378	       245.4 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1461459	       247.5 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1444094	       248.9 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1415023	       253.5 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=std-14     	 1448804	       248.4 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       341.4 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       339.3 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       339.2 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       344.5 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       363.8 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       331.8 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       337.1 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       337.2 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       362.0 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=std-14       	 1000000	       343.3 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1707798	       211.2 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1699516	       211.9 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1589774	       221.3 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1681068	       215.6 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1700235	       211.9 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1712431	       210.4 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1734765	       205.1 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1741378	       207.4 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1654977	       222.5 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=std-14          	 1627989	       217.2 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 6050584	        59.16 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 6035749	        60.11 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 6019437	        59.76 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 5929622	        60.27 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=erl-14        	 6065966	        60.06 ns/op	     320 B/op	       1 allocs/op
